pitch_type,game_date,release_speed,player_name,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,estimated_woba_using_speedangle,woba_value,woba_denom,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,home_score_diff,bat_score_diff,home_win_exp
SI,2025-03-30,101.5,"Martinez, Justin",663538,679885,,foul,1,R,R,R,AZ,CHC,,0,1,-1.54,0.7,-0.37719614095245313,3.1736548826058,,,621020,2,8,Top,,,167,71.6,61,100.9,2160,6,778515,,,,67,2,2,6,6,2,6,2,6,2,230,0.001,-0.055,73.3,6.1,-4,4,0.041
SI,2025-03-31,101.4,"Alvarado, José",592178,621237,,foul,6,R,R,L,PHI,COL,,3,2,1.29,1.06,0.6510121697421201,2.4988008113083167,,,,2,8,Top,,,284,82.4,38,102.7,2087,7.1,778502,,,,61,6,4,1,1,4,1,4,1,4,151,0,0,64.8,7.3,3,-3,0.964
FF,2025-03-27,101.4,"Helsley, Ryan",650489,664854,,foul,9,R,L,R,STL,MIN,,0,1,-0.22,1.42,0.7923827767322709,1.8244772111513488,,,,0,9,Top,,,3,102.7,-27,101.5,2526,6.6,778551,,,,69,2,5,3,3,5,3,5,3,5,201,0.01,-0.055,66.3,6.5,2,-2,0.93
FF,2025-03-29,101.4,"Miller, Mason",645302,695243,strikeout,foul_tip,11,R,R,R,SEA,ATH,,1,2,-0.48,1.42,-0.5261661188035248,3.6379584914390204,,,641487,1,9,Bot,,,,,,102.6,2614,6.8,778521,0,0,1,75,4,2,4,2,4,4,2,2,4,207,-0.046,-0.178,59.2,5.2,-2,-2,0.092
SI,2025-03-31,101.4,"Alvarado, José",669911,621237,,ball,11,R,R,L,PHI,COL,,1,0,1.07,1.08,-1.3989121780523552,3.072884419233984,,,671289,2,8,Top,,,,,,102.3,2129,7.1,778502,,,,62,2,4,1,1,4,1,4,1,4,150,-0.004,0.048,,,3,-3,0.952
FF,2025-03-29,101.4,"Joyce, Ben",642136,690829,,ball,11,R,L,R,CWS,LAA,,2,1,-0.38,1.25,-0.7690026929263869,3.4488410182363247,,,,1,8,Bot,,,,,,102.4,2487,6.8,778534,,,,58,4,0,1,0,1,1,0,0,1,214,0.021,0.121,,,-1,-1,0.252
FF,2025-03-29,101.3,"Joyce, Ben",642136,690829,walk,ball,11,R,L,R,CWS,LAA,,3,1,-0.5,1.17,-1.1756796909500036,4.157675931632443,,,,1,8,Bot,,,,,,102,2362,6.7,778534,0.691497,0.7,1,58,5,0,1,0,1,1,0,0,1,226,0.043,0.253,,,-1,-1,0.273
FF,2025-03-29,101.3,"Miller, Mason",641487,695243,,ball,11,R,L,R,SEA,ATH,,0,2,-0.93,1.51,-1.2808040882680158,4.49205076465955,,,,1,9,Bot,,,,,,101.6,2673,6.7,778521,,,,74,3,2,4,2,4,4,2,2,4,213,0.003,0.017,,,-2,-2,0.034
SI,2025-03-29,101.3,"Martinez, Justin",664023,679885,,swinging_strike,2,R,L,R,AZ,CHC,,0,0,-1.42,1.13,0.1912100271128081,3.1627538996887683,,,542932,2,9,Top,,,,,,100.9,2142,6.2,778532,,,,68,1,1,4,4,1,4,1,4,1,225,0.001,-0.042,72.7,6.6,-3,3,0.039
SI,2025-03-27,101.3,"Alvarado, José",663993,621237,strikeout,swinging_strike,4,R,L,L,WSH,PHI,,2,2,1.09,1.52,-0.7574460776241445,2.659537510055735,,,,0,9,Bot,,,,,,102.2,2306,6.9,778555,0,0,1,67,5,3,3,3,3,3,3,3,3,152,-0.048,-0.232,71.4,6.7,0,0,0.63
SI,2025-03-29,101.2,"Martinez, Justin",665804,679885,field_out,hit_into_play,11,R,R,R,AZ,CHC,ground_ball,1,1,-1.32,0.69,-1.1271606963067329,2.819404512660826,,,,0,9,Top,106.84,166.68,21,62.4,-5,100.3,2095,6,778532,0.043,0,1,65,3,1,4,4,1,4,1,4,1,226,0.004,-0.251,66.4,6.1,-3,3,0.034
FF,2025-03-29,101.2,"Joyce, Ben",681460,690829,,foul,5,R,L,R,CWS,LAA,,1,2,-0.67,1.23,-0.09413202463799486,2.5807414580048933,,572191,,2,8,Bot,,,,,,102,2348,6.8,778534,,,,60,4,0,1,0,1,1,0,0,1,215,0,0,74.6,7.0,-1,-1,0.236
SI,2025-03-27,101,"Alvarado, José",657557,621237,,ball,13,R,R,L,WSH,PHI,,0,0,1.3,1.27,-1.0169354642393056,1.986297155449716,,,,1,9,Bot,,,,,,101.7,2249,7,778555,,,,68,1,3,3,3,3,3,3,3,3,148,0.005,0.039,,,0,0,0.582
